corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
fog/s5,116,0.4609375,0.6015625,0.4609375,0.6015625,-0.07533545948576528,0.3846211357434521,0.3869960904121399,0.6130039095878601,0.4609375,0.6015625,0.625
fog/s5,117,0.4296875,0.6015625,0.4296875,0.6015625,-0.17923085770084274,0.39830046243640504,0.35950082540512085,0.6404991745948792,0.4296875,0.6015625,0.5703125
fog/s5,118,0.4140625,0.5546875,0.4140625,0.5546875,-0.2632135288425157,0.30896453582158523,0.36073440313339233,0.6392655968666077,0.4140625,0.5546875,0.5078125
fog/s5,119,0.421875,0.578125,0.421875,0.578125,-0.28914728774120557,0.31202279123074034,0.3540760278701782,0.6459239721298218,0.421875,0.578125,0.5703125
fog/s5,120,0.421875,0.53125,0.421875,0.53125,-0.3021141671905505,0.21859296709237316,0.37268689274787903,0.627313107252121,0.421875,0.53125,0.5390625
fog/s5,121,0.53125,0.6328125,0.53125,0.6328125,-0.08847551211827226,0.38144726002737667,0.38463452458381653,0.6153654754161835,0.53125,0.6328125,0.640625
fog/s5,122,0.4140625,0.5234375,0.4140625,0.5234375,-0.21783585605123043,0.2376330076225158,0.3880613148212433,0.6119386851787567,0.4140625,0.5234375,0.578125
fog/s5,123,0.5390625,0.609375,0.5390625,0.609375,-0.030633397679845256,0.3411594144419808,0.40810784697532654,0.5918921530246735,0.5390625,0.609375,0.6484375
fog/s5,124,0.5234375,0.6015625,0.5234375,0.6015625,0.03159267876890483,0.37656960178566945,0.41460105776786804,0.585398942232132,0.5234375,0.6015625,0.6484375
fog/s5,125,0.4609375,0.5234375,0.4609375,0.5234375,-0.062488190961317545,0.2351941785016622,0.42612412571907043,0.5738758742809296,0.4609375,0.5234375,0.5390625
fog/s5,126,0.4765625,0.6015625,0.4765625,0.6015625,-0.0781534730894862,0.3235869838155101,0.40089425444602966,0.5991057455539703,0.4765625,0.6015625,0.6015625
