proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,identity,128,2355,0.9294982698961938,2149,2312,0.8069608713574532,0.9622823984526112,0.6516393442622951,2068,244,0.1559033466595067,0.43929953557472123,0.42367278772249073,-0.03802605874851583,0.41274994257703623,0.6424561794994552,0.5282883152861132,0.8259960243944775,0.9088432342238553,0.8728966030357467
nuclear_norm,identity,128,2355,0.926038062283737,2141,2312,0.8032192345498939,0.9588974854932302,0.6475409836065574,2068,244,0.1519876164977169,0.5012924885272073,0.46971119237531844,0.007780223566969887,0.4254954937678858,0.65230015619183,0.5474657838752406,0.9069174146774851,0.9523221170788196,0.9370884600317237
cot,identity,128,2355,0.9143598615916955,2114,2312,0.8021133906205409,0.9443907156673114,0.6598360655737705,2068,244,0.01887260719050329,0.07821068727563502,0.40020647007823495,0.20719066460155222,0.2661155636033541,0.5158639002715291,0.41471490680925815,0.64393602060269,0.8024562421731729,0.8058223140333534
nuclear_norm,beta,128,2355,0.8862456747404844,2049,2312,0.7863977233091289,0.9129593810444874,0.6598360655737705,2068,244,0.019930349107675747,0.5120159483870451,0.556089152273418,0.47320612208572604,0.4907541800228775,0.7005384928916308,0.5474657838752406,0.880875628234961,0.9385497473415892,0.9370884600317237
prototype,beta,128,2355,0.8741349480968859,2021,2312,0.7832426990519072,0.8984526112185687,0.6680327868852459,2068,244,0.013423674523123855,0.5335726438793791,0.5910181565672886,0.5227854717843535,0.652254749187953,0.8076229003612719,0.6840279808642237,0.7884450205034255,0.8879442665524822,0.8193559957326934
prototype,linear,128,2355,0.8693771626297578,2010,2312,0.7823905254145924,0.8926499032882012,0.6721311475409836,2068,244,0.00010981364202630624,0.6353963159115732,0.6283627532033182,0.5540484707013753,0.6542819249758557,0.8088769529266214,0.6840279808642237,0.7834465190130757,0.8851251431368763,0.8193559957326934
prototype,platt,128,2355,0.875,2023,2312,0.7819188572153344,0.8999032882011605,0.6639344262295082,2068,244,0.009265953612934296,0.4944688035533471,0.5994924002086238,0.5496669466807094,0.6501294855707873,0.8063060743729935,0.6840279808642237,0.8143491650725253,0.9024129681429258,0.8193559957326934
ac_mc,beta,128,2355,0.8775951557093425,2029,2312,0.7815621333671561,0.9032882011605415,0.6598360655737705,2068,244,-0.0074020676566163264,0.5286394614643694,0.5123228606497872,0.2612696876007347,0.4429659051471602,0.6655568384046251,0.5282883152861132,0.7732581277226153,0.8793509695921278,0.8728966030357467
nuclear_norm,platt,128,2355,0.8754325259515571,2024,2312,0.7803532358816628,0.9008704061895552,0.6598360655737705,2068,244,-0.017933981844342056,0.514952117272402,0.5242932932645414,0.2699352502977903,0.4514303628891723,0.6718856769489675,0.5474657838752406,0.9199762668428055,0.9591539328193392,0.9370884600317237
ac_mc,platt,128,2355,0.8745674740484429,2022,2312,0.7798696768874656,0.8999032882011605,0.6598360655737705,2068,244,-0.012932774464765371,0.4370456834890714,0.47576705054560015,0.16076478403309197,0.4288694865261259,0.6548812766648058,0.5282883152861132,0.8476418805263725,0.9206746876754962,0.8728966030357467
