proxy_kind,calib_method,proxy_batch_size,corruption,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,linear,128,jpeg_compression_s5,157,0.7801418439716312,110,141,0.5,1.0,0.0,110,31,0.12307019656126232,0.0011145276163783387,0.005550203843282213,-0.03261460042973761,0.008550592486691306,0.09246941379013553,0.046459112496011194,0.0263680355525645,0.1623823745132596,0.16454570223388465
cot,linear,128,motion_blur_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.13407128118745903,0.009808528892418844,0.08107984758309772,0.09021873366037189,0.014169060346862666,0.11903386218577748,0.13284727745639188,0.016140463208064372,0.12704512272442564,0.14183342309869182
cot,linear,128,pixelate_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.13158746748675637,-0.003710178180870208,-0.02650621062869151,-0.02276991440431788,0.003990156201194162,0.06316768320268017,0.07644014435019042,0.017460772563357575,0.13213921659884917,0.10815699144063823
cot,linear,128,shot_noise_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.13878597410465082,0.008160240303288184,0.09280354148274665,0.11028623471910058,0.016188551295424375,0.12723423790562183,0.13569533199150627,0.04018638775832341,0.20046542783812726,0.2230199878340427
cot,linear,128,snow_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.13098318025973063,0.016917894441773867,0.13125845422994487,0.12225986911571131,4.311367095233517e-05,0.0065661001326765625,0.010374425834745215,0.08926519308287215,0.298772811820072,0.24477498538224593
cot,linear,128,zoom_blur_s5,157,0.94,141,150,0.5,1.0,0.0,141,9,0.13017433163406092,0.006881551037997374,0.042328703662991886,0.04834901635414861,0.00408228400506334,-0.06389275393237749,-0.043929845541732064,0.005615945021603689,0.07493960916367051,0.05322108409168901
cot,linear,512,brightness_s5,40,0.8108108108108109,30,37,0.5,1.0,0.0,30,7,0.07590732433935451,0.140018295047549,0.2246004101742233,-0.18731817563583986,0.5286645697971138,-0.7270932332219259,-0.07380284943589926,0.26048430978789977,-0.5103766352292195,-0.16421770769189703
cot,linear,512,clean,40,0.5897435897435898,23,39,0.5,1.0,0.0,23,16,0.05944284580096594,0.4694247562545616,0.6529786025379543,0.0966410983016762,0.0049674721238057405,0.07048029599686526,0.14352820977135755,0.3309729447445592,0.5753024810867403,0.05356143726277091
cot,linear,512,contrast_s5,40,0.0,0,40,nan,nan,0.0,0,40,0.0684418525633101,-0.1850120002711279,-0.6184258281134338,0.11802865178870642,0.18036908209839173,-0.4246988133941414,0.18958544005542735,0.5299484450031073,-0.7279755799497036,0.16872581183715585
cot,linear,512,defocus_blur_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.12399536366153953,0.022258995985082217,0.09555273712518897,0.283111272415492,0.018672486778557405,0.1366473079813774,0.41029026008004177,0.005831645823837389,0.07636521344065889,0.3088486608169003
cot,linear,512,elastic_transform_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.14058065897468852,-0.039706236149030516,-0.2266363551145641,-0.03369943466654442,0.46287165940089503,0.6803467199898116,0.3821957152186328,0.1385197660402077,0.3721824365015196,0.024059060184096884
cot,linear,512,fog_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.09690607066623937,-0.0629377981120593,-0.15916266588143838,-0.032489804044977956,0.003859597912311228,0.062125662268592584,0.2775979456098778,0.01848038642936887,-0.13594258504739737,0.1025159883563152
cot,linear,512,frost_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.08795705727930422,0.09465624971592104,0.40510775170429036,0.1088263390536988,0.028424995474806578,0.1685971395807372,-0.024216260645159367,0.49165867932233,0.7011837700077848,0.3854066200212918
cot,linear,512,gaussian_noise_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.1335922464624122,0.01453088814959539,0.0958058793297821,0.08251586180337882,0.027127423271114233,-0.1647040475249902,0.10715634152644053,0.13597624606805872,-0.368749570939491,0.04919593132406045
cot,linear,512,glass_blur_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.13272036033762083,0.022958740105656593,0.1598012615795485,0.10288949780427148,0.16410509047864508,0.40509886506709086,0.14387011254206117,0.5831046404312584,0.7636128865015692,0.31674810665208625
cot,linear,512,impulse_noise_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.1375288446281735,0.001873072659896661,0.027909492190236626,0.17416211268843879,0.3688462813596869,0.6073271617173785,0.3462549826356314,0.013344076997208718,-0.11551656589947919,0.103977916682763
cot,linear,512,jpeg_compression_s5,40,0.972972972972973,36,37,0.5,1.0,0.0,36,1,0.09148238087664833,-0.1574220024195564,-0.2754495429427166,-0.1947486681171626,0.4207220303918594,0.6486308891749293,0.33773485233169653,0.10585972094979128,0.32536090876101154,-0.11535575322829793
cot,linear,512,motion_blur_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.12233816000024776,0.017849589830212804,0.0739985743473585,0.060125010899654635,0.1495310130169554,0.38669240103337355,0.0819034749175847,0.31943662699893405,0.565187249501379,0.5394115098284439
cot,linear,512,pixelate_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.08980117237198101,0.12823343882858954,0.5583124831452809,0.07662335289220235,0.0224196925212998,-0.14973206911446793,0.2660718986236744,0.3611494294347541,0.6009570945040537,0.1819122116886199
cot,linear,512,shot_noise_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.14530057447706013,-0.046240558149118184,-0.3191948936880635,-0.18712149244635568,0.3781834494781208,0.6149662181600879,-0.014935902258519354,0.17479393785628494,0.4180836493529554,0.30717243583655046
cot,linear,512,snow_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.10428471002926325,0.10925993842287467,0.38383220431598597,0.21302792686224617,0.08329618737452879,0.2886107887355024,0.3339599370037165,0.1973179838364406,0.4442048894783134,0.2861709358667864
cot,linear,512,zoom_blur_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.11426766206757304,-0.030339684074042785,-0.07693483297043932,0.06950646643653534,0.011108948984527345,0.10539899897308012,0.30788781300627605,0.0019264608225903722,0.04389146639826895,0.3205821024556754
