proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,platt,32,11730,0.8392503153721391,9314,11098,0.3898149444699636,0.6243516192579015,0.534817800399883,0.745893577784554,0.8636513056694548,0.8183348682512688
atc,linear,128,2940,0.8370728339661719,2425,2897,0.2998614703631199,0.5475960832247797,0.40805672047268277,0.7256536168259201,0.8518530488446467,0.8091008996361588
nuclear_norm,linear,32,11730,0.8358262750045053,9276,11098,0.3675817011772881,0.6062851648995612,0.5322633587473342,0.7738040891871242,0.8796613491492759,0.8562967272587013
ac_mc,linear,32,11730,0.8324022346368715,9238,11098,0.3776759244308743,0.6145534349679239,0.534817800399883,0.7300966661974604,0.8544569422723771,0.8183348682512688
atc,beta,128,2940,0.8315498791853642,2409,2897,0.24680246059598301,0.49679217042540336,0.40805672047268277,0.7262382951429398,0.8521961600141952,0.8091008996361588
nuclear_norm,isotonic,32,11730,0.831320958731303,9226,11098,0.3719343729015345,0.6098642249726857,0.5452085162719432,0.6895451255656536,0.8303885389175681,0.8350042811476406
ac_mc,isotonic,32,11730,0.8284375563164534,9194,11098,0.3998700297880409,0.6323527732113151,0.5428434887617148,0.6364859961157369,0.79780072456456,0.7925330298169124
atc,linear,32,11730,0.8065417192286899,8951,11098,0.2627550206963248,0.5125963525975626,0.39961478925400346,0.6017706062996827,0.775738748741922,0.7432878135839834
atc,platt,32,11730,0.8018561903045593,8899,11098,0.2703193851525844,0.5199224799454092,0.39961478925400346,0.6127510625693007,0.7827841736834622,0.7432878135839834
atc,beta,32,11730,0.7854568390701028,8717,11098,0.1732777058980805,0.41626638814355466,0.39961478925400346,0.5853606723781153,0.7650886696181791,0.7432878135839834
prototype,isotonic,32,11730,0.7648224905388358,8488,11098,0.4298232023337043,0.6556090316138913,0.6218903280262464,0.6008899417744965,0.7751709113314924,0.766245363466979
prototype,isotonic,1024,375,0.7513368983957219,281,374,0.5242711980001667,0.7240657414904856,0.7329530764660886,0.7096818407356507,0.842426163373177,0.8417893711839579
prototype,isotonic,512,735,0.7493150684931507,547,730,0.5214063623342661,0.7220847334864975,0.7255675450936225,0.7065763223578801,0.840580943370643,0.8390352078826967
prototype,isotonic,128,2940,0.7490507421470487,2170,2897,0.5041970607515318,0.7100683493520408,0.6780860836834377,0.6782011591341418,0.8235296953566045,0.8221904504145515
cot,identity,32,11730,0.6803027572535592,7550,11098,0.030916894197487943,0.17583200561185652,0.15656752183881034,0.08640317035722204,0.29394416197166096,0.2720681687443809
prototype,identity,32,11730,0.5355919985582988,5944,11098,0.5723357860811319,0.7565287741263592,0.6798326439370701,0.7117471172563881,0.843651063684737,0.7913006217039634
prototype,identity,128,2940,0.5091473938557128,1475,2897,0.66021750402024,0.8125376939073289,0.6828533319143099,0.7879631918757283,0.8876729081569,0.8232243204730304
prototype,identity,512,735,0.473972602739726,346,730,0.6917048132117662,0.8316879301828097,0.6697919977845243,0.8112029419032492,0.9006680531157132,0.8239897876656548
prototype,identity,1024,375,0.4679144385026738,175,374,0.6980729541620521,0.8355076026955423,0.6632682599138221,0.8153521232738496,0.9029685062469508,0.8196563288282459
atc,identity,32,11730,0.28797981618309604,3196,11098,0.2627550206963248,0.5125963525975626,0.39961478925400346,0.6017706062996825,0.7757387487419218,0.7432878135839834
atc,identity,128,2940,0.21919226786330687,635,2897,0.2998614703631196,0.5475960832247795,0.40805672047268277,0.7256536168259201,0.8518530488446467,0.8091008996361588
atc,identity,1024,375,0.1497326203208556,56,374,0.3132447864716833,0.5596827552030554,0.42412910177881186,0.7723343510524336,0.8788255521162511,0.8193937770636587
atc,identity,512,735,0.14794520547945206,108,730,0.31058019792771874,0.5572972258388864,0.4203169261492252,0.7643256236232788,0.8742571839128798,0.8196848399671572
