global_idx,corruption,n,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run
166,shot_noise/s5,64,0.15625,4.907210826873779,6.028624057769775,0.18899700598802396,5.102779088619941,6.316629555410968
167,shot_noise/s5,64,0.265625,4.48537540435791,5.987817764282227,0.189453125,5.099104066689809,6.314672342368534
168,shot_noise/s5,64,0.140625,4.7744140625,5.844862937927246,0.18916420118343194,5.097182824061467,6.311892405064149
169,shot_noise/s5,64,0.265625,4.466483116149902,5.761208534240723,0.1896139705882353,5.093472825779634,6.308653088176952
170,shot_noise/s5,64,0.15625,4.839537620544434,6.046684265136719,0.1894188596491228,5.091987824579428,6.307121106755663
171,shot_noise/s5,64,0.15625,5.0394978523254395,5.938929557800293,0.18922601744186046,5.091682650322138,6.304980458215225
172,shot_noise/s5,64,0.203125,4.9783124923706055,6.016847610473633,0.1893063583815029,5.091027331490048,6.303314950424812
173,shot_noise/s5,64,0.171875,4.7826128005981445,5.907279014587402,0.18920617816091953,5.089254834186072,6.301038881828045
174,shot_noise/s5,64,0.21875,4.526805400848389,5.793183326721191,0.189375,5.086040837424142,6.298136850084577
175,shot_noise/s5,64,0.140625,4.999571800231934,6.031497001647949,0.18909801136363635,5.085549536076459,6.296621850945733
176,shot_noise/s5,64,0.21875,4.7961554527282715,6.055706977844238,0.18926553672316385,5.083914541255282,6.295260749967758
177,shot_noise/s5,64,0.234375,4.852206230163574,5.9884748458862305,0.1895189606741573,5.082612809170498,6.293537233652693
178,shot_noise/s5,64,0.15625,4.849965572357178,5.863694190979004,0.1893331005586592,5.081313103936904,6.291135875872394
179,shot_noise/s5,64,0.171875,4.516376495361328,5.617898941040039,0.1892361111111111,5.078174567222595,6.2873956706788805
180,shot_noise/s5,64,0.09375,5.409814834594727,6.171284198760986,0.1887085635359116,5.08000683389316,6.286754170834031
181,shot_noise/s5,64,0.171875,4.636987686157227,5.72945499420166,0.18861607142857142,5.077572662751753,6.2836920874459405
182,shot_noise/s5,64,0.21875,4.703707695007324,5.966054916381836,0.18878073770491804,5.075529684785937,6.281956365199688
183,shot_noise/s5,64,0.28125,4.404750347137451,5.905036926269531,0.18928328804347827,5.071884144907412,6.279907889988111
184,shot_noise/s5,64,0.296875,4.259504318237305,5.583415985107422,0.18986486486486487,5.067492902601088,6.276143068880648
185,shot_noise/s5,64,0.1875,4.622563362121582,5.944934844970703,0.1898521505376344,5.0651008082974345,6.2743623795047885
186,shot_noise/s5,64,0.3125,4.126055717468262,5.591767311096191,0.19050802139037434,5.060079176795674,6.270712138497256
187,shot_noise/s5,64,0.203125,4.4086012840271,5.724844932556152,0.19057513297872342,5.056613868855416,6.2678085895294835
188,shot_noise/s5,64,0.28125,4.116081714630127,5.509764671325684,0.19105489417989419,5.051637508251049,6.263797775147453
189,shot_noise/s5,64,0.1875,4.595465660095215,5.79518985748291,0.19103618421052632,5.049236603787071,6.261331417686061
190,shot_noise/s5,64,0.203125,4.734933853149414,5.786172866821289,0.19109947643979058,5.047591039647607,6.258843676582057
191,shot_noise/s5,64,0.140625,4.88161563873291,5.892088890075684,0.19083658854166666,5.046726584434509,6.256933495402336
192,shot_noise/s5,64,0.1875,4.927059650421143,5.867040634155273,0.19081930051813473,5.0461065485069785,6.254913325136807
193,shot_noise/s5,64,0.234375,4.663761138916016,5.729709148406982,0.19104381443298968,5.044135695880222,6.252206087112427
194,shot_noise/s5,64,0.25,4.174454689025879,5.63539457321167,0.19134615384615383,5.039675793280968,6.249042951143705
195,shot_noise/s5,64,0.21875,4.308811664581299,5.664401054382324,0.1914859693877551,5.0359468946651536,6.246060084323494
196,shot_noise/s5,64,0.203125,4.6015238761901855,5.783173084259033,0.1915450507614213,5.033741701677971,6.243710404120121
197,shot_noise/s5,64,0.234375,4.513474941253662,5.7262115478515625,0.19176136363636365,5.031114091776838,6.241096773532906
198,shot_noise/s5,64,0.25,4.835621356964111,5.852686405181885,0.19205402010050251,5.030131716225015,6.2391449626366695
199,shot_noise/s5,64,0.171875,4.390915870666504,5.581916809082031,0.191953125,5.026935636997223,6.235858821868897
200,shot_noise/s5,64,0.140625,4.707395076751709,5.735315799713135,0.19169776119402984,5.025345882966151,6.233368558077077
201,shot_noise/s5,64,0.171875,4.682322025299072,5.6597580909729,0.19159962871287128,5.023647745056908,6.2305289022993335
202,shot_noise/s5,64,0.1875,4.6882195472717285,5.784684658050537,0.19157943349753695,5.021995389402793,6.228332625234068
203,shot_noise/s5,64,0.203125,4.6765642166137695,5.889016151428223,0.19163602941176472,5.020302099340102,6.226669309186001
204,shot_noise/s5,64,0.171875,4.390697479248047,5.595817565917969,0.19153963414634145,5.017230857290873,6.223591983609083
205,shot_noise/s5,64,0.28125,4.465707302093506,5.6564459800720215,0.1919751213592233,5.014553558479235,6.220838847669583
206,shot_noise/s5,64,0.15625,5.119966983795166,5.837623596191406,0.19180253623188406,5.015062802079795,6.218987566261476
207,shot_noise/s5,64,0.21875,4.576086521148682,5.531736850738525,0.19193209134615385,5.012952339190703,6.215683476283
208,shot_noise/s5,64,0.15625,4.673782825469971,5.565901279449463,0.19176136363636365,5.011329518550891,6.212574470556524
209,shot_noise/s5,64,0.21875,4.169680595397949,5.468768119812012,0.19188988095238096,5.007321666535877,6.2090325355529785
210,shot_noise/s5,64,0.1875,4.909987449645996,5.613589763641357,0.1918690758293839,5.0068603669297636,6.206210531894629
