corruption,batch_idx,n,T_l_opt,T_s_opt,log_T_ratio_opt,opt_nll,T_l_base,T_s_base,base_nll,r_l,r_s,gap_r,acc_l,acc_s
brightness/s5,55,128,1.6396287679672241,0.785487949848175,0.7359200173618331,1.0791908502578735,0.5936581492424011,0.6630322933197021,1.5907702445983887,0.8428529500961304,0.7315418720245361,0.11131107807159424,0.6328125,0.703125
brightness/s5,56,128,2.2640395164489746,0.6907997131347656,1.1870559624254764,1.4470874071121216,0.5936581492424011,0.6630322933197021,2.1996123790740967,0.8349754810333252,0.6971527338027954,0.13782274723052979,0.5546875,0.5703125
brightness/s5,57,128,3.5555710792541504,0.5639093518257141,1.8413774556089968,0.9106650948524475,0.5936581492424011,0.6630322933197021,1.4903061389923096,0.8430066108703613,0.7489213943481445,0.0940852165222168,0.6484375,0.7578125
brightness/s5,58,128,1.601650357246399,0.7255999445915222,0.7917910274652004,0.657398521900177,0.5936581492424011,0.6630322933197021,0.912780225276947,0.87093585729599,0.801264762878418,0.06967109441757202,0.7734375,0.8046875
brightness/s5,59,128,2.1252543926239014,0.6143747568130493,1.2410416932961483,0.8574855923652649,0.5936581492424011,0.6630322933197021,1.3250961303710938,0.8515380620956421,0.7413460612297058,0.11019200086593628,0.7109375,0.734375
brightness/s5,60,128,2.572023868560791,0.5602362751960754,1.5240897507313032,0.9002083539962769,0.5936581492424011,0.6630322933197021,1.397749900817871,0.8540481925010681,0.7356916666030884,0.11835652589797974,0.671875,0.765625
brightness/s5,61,128,2.7946183681488037,0.5918774008750916,1.5521513150330033,1.0428287982940674,0.5936581492424011,0.6630322933197021,1.6703410148620605,0.8518984317779541,0.7565739750862122,0.09532445669174194,0.6328125,0.734375
brightness/s5,62,128,2.8666605949401855,0.6248706579208374,1.5233583945339364,1.0037833452224731,0.5936581492424011,0.6630322933197021,1.7257442474365234,0.860858142375946,0.7534301280975342,0.10742801427841187,0.6640625,0.734375
brightness/s5,63,128,1.551791787147522,0.7502589225769043,0.7267471569227391,1.048980712890625,0.5936581492424011,0.6630322933197021,1.4523271322250366,0.8556845784187317,0.7153255939483643,0.14035898447036743,0.6953125,0.6875
brightness/s5,64,128,5.282775402069092,0.5288258790969849,2.301547656298179,1.2056111097335815,0.5936581492424011,0.6630322933197021,2.2780277729034424,0.8351754546165466,0.7201581001281738,0.1150173544883728,0.6015625,0.734375
