duo,corruption,severity,n_samples,n_chunks,win_rate_large,win_rate_small,n_large_win,n_small_win,n_tie,oracle_delta_acc_mean_pp,oracle_delta_acc_median_pp,disagree_rate,acc_large,acc_small,acc_fixed,acc_gate,acc_persample,acc_hard,acc_either
convnext_tiny+swin_t,jpeg_compression,5,10000,79,0.922077922077922,0.07792207792207792,71,6,2,7.58504746835443,7.03125,0.46709999442100525,0.5148000121116638,0.4659999907016754,0.5339999794960022,0.5521162974683544,0.6100000143051147,0.514932753164557,0.5910999774932861
convnext_tiny+swin_t,motion_blur,5,10000,79,0.5352112676056338,0.4647887323943662,38,33,8,6.853243670886076,7.03125,0.6779999732971191,0.23980000615119934,0.24009999632835388,0.26820001006126404,0.28401898734177217,0.3447999954223633,0.2567246835443038,0.3246999979019165
convnext_tiny+swin_t,pixelate,5,10000,79,0.8493150684931506,0.1506849315068493,62,11,6,8.188291139240507,7.8125,0.6682000160217285,0.3330000042915344,0.28949999809265137,0.367000013589859,0.3829113924050633,0.44920000433921814,0.3370253164556962,0.4187000095844269
convnext_tiny+swin_t,shot_noise,5,10000,79,0.5616438356164384,0.4383561643835616,41,32,6,5.5775316455696204,5.46875,0.7835999727249146,0.1597999930381775,0.15710000693798065,0.18379999697208405,0.20174050632911392,0.2513999938964844,0.17236946202531644,0.22789999842643738
convnext_tiny+swin_t,snow,5,10000,79,0.7702702702702703,0.22972972972972974,57,17,5,7.466376582278481,7.8125,0.5861999988555908,0.3452000021934509,0.3206000030040741,0.3707999885082245,0.3848892405063291,0.448199987411499,0.34879351265822783,0.4253999888896942
convnext_tiny+swin_t,zoom_blur,5,10000,79,0.8933333333333333,0.10666666666666667,67,8,4,6.170886075949367,6.25,0.6317999958992004,0.28200000524520874,0.2476000040769577,0.29760000109672546,0.31388449367088606,0.3644999861717224,0.2846123417721519,0.34459999203681946
convnext_tiny+swin_t,ALL,-,150000,1185,0.5694822888283378,0.4305177111716621,627,474,84,6.5222837552742625,6.25,0.6352799991766612,0.2939400022228559,0.29059333354234695,0.32427333295345306,0.342668776371308,0.3976933350165685,0.3115506329113924,0.37711999714374544
convnext_tiny+deit_small,brightness,5,10000,79,0.4305555555555556,0.5694444444444444,31,41,7,6.645569620253164,7.03125,0.2770000100135803,0.6797000169754028,0.6881999969482422,0.7146000266075134,0.7264636075949367,0.7728999853134155,0.6950158227848101,0.7623000144958496
convnext_tiny+deit_small,contrast,5,10000,79,0.0,1.0,0,79,0,6.744462025316455,6.25,0.6549000144004822,0.2955000102519989,0.39480000734329224,0.38040000200271606,0.4276107594936709,0.492000013589859,0.39527294303797467,0.46230000257492065
convnext_tiny+deit_small,defocus_blur,5,10000,79,0.05263157894736842,0.9473684210526315,4,72,3,5.409414556962025,5.46875,0.7034000158309937,0.20659999549388885,0.26899999380111694,0.26759999990463257,0.2950949367088608,0.34389999508857727,0.2691851265822785,0.32409998774528503
