global_idx,corruption,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run
54,fog/s5,0.625,2.708958387374878,5.3383331298828125,0.5927083333333333,2.8196069876352947,5.582263437906901
55,fog/s5,0.796875,2.0459651947021484,5.2772135734558105,0.60546875,2.771254375576973,5.563197821378708
56,fog/s5,0.5625,2.808234930038452,5.435915946960449,0.6029411764705882,2.773429702310001,5.555710652295281
57,fog/s5,0.515625,2.9049220085144043,5.652493000030518,0.5980902777777778,2.780734830432468,5.561087449391683
58,fog/s5,0.546875,2.7190232276916504,5.567237377166748,0.5953947368421053,2.777486851340846,5.561411129800897
59,fog/s5,0.515625,3.1005797386169434,5.6686625480651855,0.59140625,2.7936414957046507,5.566773700714111
60,fog/s5,0.703125,2.48600697517395,5.463637351989746,0.5967261904761905,2.7789922328222367,5.561862446012951
61,fog/s5,0.625,2.6741790771484375,5.574461936950684,0.5980113636363636,2.7742279984734277,5.562435150146484
62,fog/s5,0.5625,2.6979877948760986,5.45754337310791,0.5964673913043478,2.7709132070126743,5.557874638101329
63,fog/s5,0.59375,2.528047800064087,5.480061054229736,0.5963541666666666,2.760793815056483,5.554632405440013
64,fog/s5,0.75,2.341585159301758,5.392581939697266,0.6025,2.744025468826294,5.548150386810303
65,fog/s5,0.625,2.963109254837036,5.8303422927856445,0.6033653846153846,2.7524517682882457,5.559003921655508
66,fog/s5,0.671875,2.614379405975342,5.490548133850098,0.6059027777777778,2.747337977091471,5.55646852210716
67,fog/s5,0.578125,2.75290584564209,5.429993152618408,0.6049107142857143,2.747536829539708,5.551951544625418
68,fog/s5,0.59375,2.938059091567993,5.667780876159668,0.6045258620689655,2.7541065627130967,5.55594565950591
69,fog/s5,0.53125,3.281963586807251,5.8930816650390625,0.6020833333333333,2.7717017968495687,5.567183526357015
70,fog/s5,0.515625,3.128957748413086,5.67139196395874,0.5992943548387096,2.7832261823838755,5.570545088860296
71,fog/s5,0.640625,2.6956140995025635,5.40899658203125,0.6005859375,2.7804883047938347,5.565496698021889
72,fog/s5,0.65625,2.4768569469451904,5.336706161499023,0.6022727272727273,2.771287354555997,5.55856365146059
73,fog/s5,0.578125,2.7444889545440674,5.431238174438477,0.6015625,2.770499166320352,5.554818784489351
74,fog/s5,0.46875,3.0568387508392334,5.5219268798828125,0.5977678571428572,2.7786802973066056,5.553879015786308
75,fog/s5,0.5625,3.0738396644592285,5.6788411140441895,0.5967881944444444,2.7868791686164007,5.55735018518236
76,fog/s5,0.578125,2.8451647758483887,5.48651123046875,0.5962837837837838,2.7884544552983463,5.555435618838748
