global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_coca_ts_acc,cmp_proxy_weighted_nuclear_norm_acc
7669,jpeg_compression/s5,64,0.625,1.475305438041687,1.668326735496521,0.6155804984177216,1.6808686843024025,1.8443981863652603,0.5625,1.7225383520126343,1.424814224243164,0.5849485759493671,1.8858400619105449,1.675058299321917,0.671875,1.493732213973999,0.6581060290336609,0.635037579113924,1.8183160555324978,0.6695833038774472,0.4047084152698517,0.6875,0.6875,0.6875
7670,jpeg_compression/s5,64,0.625,1.541197657585144,1.5969624519348145,0.6155953791469194,1.6806480349710955,1.844007292629983,0.546875,1.8999359607696533,1.2614110708236694,0.5848884281200631,1.8858623303131659,1.6744048281868487,0.625,1.7431281805038452,0.6079236268997192,0.6350217219589257,1.8181972753191822,0.6694858952250338,0.4047084152698517,0.65625,0.65625,0.65625
7671,jpeg_compression/s5,64,0.75,1.1593133211135864,1.3392143249511719,0.6158073738170347,1.679825740469743,1.8432110892109315,0.59375,1.6628999710083008,1.2403573989868164,0.584902405362776,1.8855106546675746,1.6737202107906342,0.6875,1.5234746932983398,0.5644230842590332,0.6351044952681388,1.8177324132024302,0.6693201810121536,0.37589195370674133,0.71875,0.71875,0.71875
7672,jpeg_compression/s5,64,0.5625,1.964445948600769,1.3962355852127075,0.6157234251968504,1.6802739612699493,1.8425071907794381,0.46875,2.0750350952148438,1.2863214015960693,0.5847194881889763,1.8858091183534758,1.6731101339257608,0.578125,2.2168221473693848,0.5865857601165771,0.6350147637795276,1.818360900972772,0.6691898905855465,0.37589195370674133,0.59375,0.59375,0.59375
7673,jpeg_compression/s5,64,0.703125,1.081050157546997,1.3016762733459473,0.6158608490566038,1.6793317854779322,1.8416568277017125,0.703125,1.325911283493042,1.039820909500122,0.5849056603773585,1.8849287758458335,1.6721143961515066,0.734375,1.1758443117141724,0.429662823677063,0.6351709905660378,1.8173506547632456,0.6688132757004702,0.3790898621082306,0.703125,0.703125,0.703125
7674,jpeg_compression/s5,64,0.546875,2.0471444129943848,1.4604065418243408,0.6157525510204082,1.6799091993358857,1.8410583186187026,0.484375,2.3313498497009277,1.192104458808899,0.5847478414442701,1.8856295938581649,1.671360848369179,0.53125,2.357987880706787,0.6038237810134888,0.6350078492935636,1.8181993788228117,0.6687112513760008,0.3790898621082306,0.578125,0.578125,0.578125
7675,jpeg_compression/s5,64,0.703125,1.1522605419158936,1.0816314220428467,0.6158894984326019,1.6790821638226883,1.8398679943293987,0.71875,1.2166740894317627,0.893549919128418,0.5849578761755486,1.8845810742587505,1.6701417089816546,0.734375,1.21652090549469,0.3896386921405792,0.6351635971786834,1.8172563091154008,0.6682738335715566,0.3684160113334656,0.71875,0.71875,0.71875
7676,jpeg_compression/s5,64,0.578125,1.9747035503387451,1.4846056699752808,0.6158303990610329,1.6795447951004912,1.8393120282505973,0.515625,2.509152412414551,1.505264163017273,0.5848493740219093,1.8855584941932666,1.6698836846530718,0.546875,2.621452569961548,0.7058858871459961,0.6350254303599374,1.8185148322153166,0.6683326943752724,0.3684160113334656,0.5625,0.5625,0.5625
7677,jpeg_compression/s5,64,0.65625,1.430419683456421,1.5743775367736816,0.6158935546875,1.6791555371135474,1.8388980681076645,0.546875,2.10029673576355,1.2835843563079834,0.5847900390625,1.8858940226957202,1.6692800919525326,0.6875,1.8297210931777954,0.6300806403160095,0.635107421875,1.8185323419980706,0.6682729255408049,0.4110131859779358,0.6875,0.6875,0.6875
7678,jpeg_compression/s5,64,0.640625,1.4933445453643799,1.1722890138626099,0.6159321372854915,1.678865660371349,1.8378581163849734,0.6875,1.6040788888931274,0.9752848148345947,0.5849502730109204,1.8854543735010203,1.668197416013191,0.671875,1.7736520767211914,0.43002134561538696,0.6351647815912637,1.818462325983598,0.6679012382086279,0.4110131859779358,0.671875,0.671875,0.671875
7679,jpeg_compression/s5,64,0.640625,1.5780346393585205,1.4052256345748901,0.6159705996884736,1.67870860270622,1.8371842340145528,0.578125,1.66927170753479,1.2757012844085693,0.5849396417445483,1.8851176403764625,1.667586051322218,0.671875,1.7056351900100708,0.5569459199905396,0.6352219626168224,1.818286582781147,0.6677284106101574,0.391700804233551,0.671875,0.671875,0.671875
