global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_nuclear_norm_identity_pbs128_acc
9012,pixelate/s5,64.0,0.625,1.8481205701828003,0.9932546615600586,0.5923813868613139,1.9291101021198171,1.5047873387661583,0.578125,1.9619991779327393,1.6911296844482422,0.4937271897810219,2.5769701862567245,3.6355758270207983,0.640625,2.543647050857544,0.3521127700805664,0.5940921532846716,2.6213413099882956,0.4617478268497472,0.9162918329238892,0.640625,0.65625
9013,pixelate/s5,64.0,0.703125,1.4214242696762085,0.8083850145339966,0.5926501820388349,1.927877854953692,1.5030970418626823,0.578125,1.7002785205841064,1.604690432548523,0.49393203883495146,2.574842293864315,3.6306464935390697,0.703125,1.9313186407089233,0.29360175132751465,0.5943567961165048,2.6196664976842197,0.46133970530721746,0.9234743118286133,0.6875,0.6875
9014,pixelate/s5,64.0,0.53125,1.806039810180664,0.9286273717880249,0.5925015133171913,1.9275828475813601,1.5017060741385304,0.5625,2.2453224658966064,1.7548496723175049,0.49409806295399517,2.5740444250314636,3.626104612616015,0.53125,2.4940128326416016,0.3839091360569,0.594203995157385,2.619362251521889,0.4611522220886937,0.9234743118286133,0.59375,0.578125
9015,pixelate/s5,64.0,0.640625,1.5084823369979858,1.0478605031967163,0.5926177536231884,1.9265705275074871,1.5006098287980913,0.625,1.8106080293655396,1.9680951833724976,0.49441425120772947,2.57220037576657,3.62209975892219,0.640625,1.9341768026351929,0.3904263973236084,0.5943161231884058,2.6177072142057374,0.4609813867631742,0.924651563167572,0.703125,0.671875
9016,pixelate/s5,64.0,0.578125,1.7709895372390747,0.92221999168396,0.5925828313253012,1.9261956335550332,1.499216118347214,0.5625,2.1615591049194336,1.6858891248703003,0.49457831325301205,2.571210878728384,3.617434191129294,0.578125,2.4267261028289795,0.3109995722770691,0.5942771084337349,2.6172470187566366,0.46061998480055705,0.924651563167572,0.671875,0.65625
9017,pixelate/s5,64.0,0.671875,1.5570358037948608,0.9030557870864868,0.5927734375,1.9253082301181097,1.4977830406278372,0.5,2.4172699451446533,1.5722116231918335,0.49459134615384615,2.5708408284072695,3.612517790725598,0.671875,2.144855260848999,0.3256807327270508,0.5944636418269231,2.6161114616462817,0.4602956115984573,0.9274259209632874,0.65625,0.703125
9018,pixelate/s5,64.0,0.65625,1.7024426460266113,0.8433602452278137,0.592925659472422,1.9247737802761635,1.4962136814062543,0.53125,2.255472421646118,1.9195435047149658,0.4946792565947242,2.5700845492543647,3.6084579003514716,0.65625,2.381861925125122,0.2542084753513336,0.5946118105515588,2.6155497121582214,0.459801397842469,0.9274259209632874,0.640625,0.671875
9019,pixelate/s5,64.0,0.65625,1.9255056381225586,0.9257270097732544,0.5930771531100478,1.9247755311322554,1.4948488807564146,0.515625,2.1689071655273438,1.9841876029968262,0.49472936602870815,2.569124794747841,3.604572086242968,0.65625,2.7212955951690674,0.34951841831207275,0.5947592703349283,2.615802692739587,0.45953756296320963,0.9628934264183044,0.640625,0.65625
9020,pixelate/s5,64.0,0.609375,2.0038907527923584,1.0774786472320557,0.5931160501193318,1.924964350277029,1.4938527704138744,0.5,2.037170648574829,1.7066562175750732,0.49474194510739855,2.5678552144467117,3.6000424540981757,0.609375,2.8185994625091553,0.4056554138660431,0.5947941527446301,2.616286694576746,0.45940896594865793,0.9628934264183044,0.59375,0.625
9021,pixelate/s5,64.0,0.578125,1.9526106119155884,1.2268707752227783,0.5930803571428571,1.9250301747095018,1.4932170989967528,0.46875,2.6365952491760254,1.9537060260772705,0.4946800595238095,2.5680188811960676,3.596122605460031,0.578125,2.6798813343048096,0.43528467416763306,0.5947544642857143,2.6164381103856225,0.45935152715870314,0.9381258487701416,0.609375,0.59375
9022,pixelate/s5,64.0,0.734375,1.0165711641311646,0.864104688167572,0.593415973871734,1.922872314826893,1.4917227702299376,0.609375,1.7946852445602417,1.6755589246749878,0.49495249406175773,2.5661819841969327,3.5915606964795437,0.734375,1.307870864868164,0.2702968716621399,0.5950861045130641,2.613329874648051,0.4589024662192814,0.9381258487701416,0.734375,0.71875
9023,pixelate/s5,64.0,0.609375,2.0532119274139404,0.8847688436508179,0.5934537914691943,1.9231811764680944,1.4902844907830677,0.5625,2.3215601444244385,1.8209223747253418,0.49511255924170616,2.5656023115908364,3.587364871072543,0.59375,2.962049722671509,0.3122406601905823,0.5950829383886256,2.6141562249988177,0.4585549263945688,0.9498525857925415,0.59375,0.625
9024,pixelate/s5,64.0,0.640625,1.7948824167251587,0.9618597030639648,0.5935653073286052,1.9228778697074729,1.4890352596064267,0.546875,1.8167052268981934,2.009448528289795,0.4952349290780142,2.5638318693102393,3.5836345723898417,0.640625,2.531229257583618,0.3087000846862793,0.5951906028368794,2.6139601801585926,0.45820065962930095,0.9498525857925415,0.65625,0.65625
9025,pixelate/s5,64.0,0.625,1.7812564373016357,1.256872534751892,0.5936394457547169,1.922543856895195,1.4884877060100716,0.484375,2.335770606994629,2.287776470184326,0.4952093160377358,2.563293988974589,3.5805783032808662,0.625,2.4114108085632324,0.43083083629608154,0.5952609080188679,2.613482469376528,0.45813610815917544,0.9593432545661926,0.640625,0.609375
9026,pixelate/s5,64.0,0.59375,1.8433647155761719,1.0898165702819824,0.5936397058823529,1.9223575530332677,1.4875496562789468,0.515625,2.0176870822906494,1.7392574548721313,0.49525735294117645,2.5620102080176856,3.576245783637552,0.59375,2.567117214202881,0.3889257311820984,0.5952573529411764,2.6133733746584724,0.45797326021334706,0.9593432545661926,0.625,0.625
9027,pixelate/s5,64.0,0.625,1.6011871099472046,0.708301305770874,0.5937133215962441,1.9216036318053662,1.4857204347988808,0.609375,1.6492259502410889,1.5154091119766235,0.49552523474178406,2.559867521966567,3.5714081388683945,0.625,2.3295211791992188,0.2078135907649994,0.5953271713615024,2.6127070549508216,0.45738603094234154,0.9507284760475159,0.6875,0.65625
9028,pixelate/s5,64.0,0.65625,2.088233232498169,1.0547375679016113,0.5938597775175644,1.9219938650622581,1.4847111072417445,0.453125,2.558896780014038,2.4508275985717773,0.4954259367681499,2.5598652485662097,3.5687838284695736,0.65625,2.9318692684173584,0.38390475511550903,0.5954698477751756,2.6134545074413755,0.4572139436453232,0.9507284760475159,0.703125,0.671875
9029,pixelate/s5,64.0,0.671875,1.5589712858200073,0.838028073310852,0.5940420560747663,1.9211456814658976,1.4832001655736817,0.59375,2.2162234783172607,1.7157928943634033,0.4956556658878505,2.5590623472338523,3.564454410399232,0.671875,2.261361837387085,0.23043663799762726,0.5956483644859814,2.612631861016015,0.45668409012745476,0.9685062170028687,0.671875,0.640625
