global_idx,corruption,n,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run,frozen_acc,frozen_nll,frozen_ent,frozen_acc_run,frozen_nll_run,frozen_ent_run
613,contrast/s5,64,0.234375,4.038290023803711,4.408449172973633,0.22933015695067266,4.568280502285123,5.633186126503709,0.265625,4.613468647003174,6.092075347900391,0.21678811659192826,4.905309662156041,6.213840084760179
614,contrast/s5,64,0.34375,3.9132566452026367,4.754665851593018,0.22984095982142858,4.5653562886374335,5.629264160990715,0.3125,4.545708179473877,6.158648490905762,0.21721540178571427,4.903704298394067,6.213593693716185
615,contrast/s5,64,0.25,4.2752509117126465,4.886353015899658,0.22993055555555555,4.564066931406657,5.625962333679199,0.171875,4.95695161819458,6.2696685791015625,0.2170138888888889,4.9039409531487355,6.21384291542901
616,contrast/s5,64,0.140625,4.618102073669434,4.820114612579346,0.2295353982300885,4.564306024956492,5.622396635798227,0.125,5.257864475250244,6.254060745239258,0.21660674778761063,4.905506986432371,6.21402087042817
617,contrast/s5,64,0.234375,4.116921424865723,4.376241683959961,0.22955671806167402,4.56233516768737,5.6169069664068685,0.25,4.5518927574157715,6.099160194396973,0.21675385462555066,4.903949214498377,6.213514876260631
618,contrast/s5,64,0.21875,4.325198173522949,4.997946262359619,0.2295093201754386,4.561295093151561,5.6141922264768365,0.140625,5.038257122039795,6.287104606628418,0.21641995614035087,4.904538284268296,6.213837638235929
619,contrast/s5,64,0.21875,4.754215717315674,4.730289459228516,0.2294623362445415,4.5621375412920155,5.610332389065272,0.1875,5.163812637329102,6.198247909545898,0.21629366812227074,4.905670486683408,6.2137695608180685
620,contrast/s5,64,0.171875,4.801915168762207,4.883754253387451,0.22921195652173912,4.563180052715799,5.60717335369276,0.171875,5.328837871551514,6.298419952392578,0.21610054347826088,4.907510344878487,6.214137605998827
621,contrast/s5,64,0.28125,4.252599239349365,4.559783935546875,0.22943722943722944,4.56183554703023,5.602639200367453,0.28125,4.927238464355469,6.204512596130371,0.21638257575757575,4.907595747993106,6.2140959392894395
622,contrast/s5,64,0.234375,3.9835121631622314,4.763766288757324,0.22945851293103448,4.559342773823903,5.599023368851892,0.234375,4.776443958282471,6.269514083862305,0.21646012931034483,4.907030438554698,6.214334810602254
623,contrast/s5,64,0.34375,3.693061590194702,4.516522407531738,0.22994903433476394,4.555624828829786,5.594377441979273,0.25,4.5315842628479,6.239259243011475,0.2166040772532189,4.905419081577415,6.214441782415169
624,contrast/s5,64,0.28125,4.1506805419921875,4.578581809997559,0.23016826923076922,4.553894297689454,5.5900364350049925,0.25,4.756875038146973,6.208008289337158,0.21674679487179488,4.904784277973012,6.214414288855006
625,contrast/s5,64,0.296875,4.126803398132324,4.824272632598877,0.23045212765957446,4.552076889606233,5.586777865633051,0.28125,4.789648056030273,6.235542297363281,0.2170212765957447,4.904294336603043,6.21450419527419
626,contrast/s5,64,0.265625,4.136641979217529,4.677788257598877,0.2306011652542373,4.550316572189331,5.58292621475155,0.265625,4.762823581695557,6.260107040405273,0.2172272245762712,4.90369488425174,6.214697427668814
627,contrast/s5,64,0.21875,4.347361087799072,4.577716827392578,0.23055116033755274,4.54946021993452,5.578684824931471,0.265625,4.895744323730469,6.1990251541137695,0.21743143459915612,4.903661337582874,6.214631299932295
628,contrast/s5,64,0.25,3.9934346675872803,4.894976615905762,0.23063287815126052,4.547123978117935,5.575812101364136,0.1875,4.882811069488525,6.290149688720703,0.21730567226890757,4.9035737314144106,6.214948604086868
629,contrast/s5,64,0.1875,4.980794429779053,4.675086975097656,0.23045240585774057,4.548938498836182,5.572043376986452,0.1875,5.4319376945495605,6.243156909942627,0.21718096234309622,4.905784459293637,6.215066630471202
630,contrast/s5,64,0.34375,3.5536906719207764,4.3578410148620605,0.23092447916666667,4.544791632890702,5.5669842004776005,0.328125,4.413861274719238,6.150731086730957,0.21764322916666667,4.90373477935791,6.2147985657056175
631,contrast/s5,64,0.328125,3.7882776260375977,4.29673957824707,0.23132780082987553,4.5416525706216015,5.561713475904029,0.3125,4.665802001953125,6.154388427734375,0.21803682572614108,4.902747506422621,6.214547901232708
632,contrast/s5,64,0.234375,4.288867473602295,4.243226051330566,0.23134039256198347,4.5406080041049925,5.556265180761164,0.1875,4.838824272155762,6.203354835510254,0.21791064049586778,4.902483360826476,6.214501648895012
633,contrast/s5,64,0.15625,4.856318473815918,4.760711669921875,0.23103137860082304,4.541907224144955,5.552991298000508,0.171875,5.301853179931641,6.268598556518555,0.21772119341563786,4.904126858024441,6.214724269914038
634,contrast/s5,64,0.265625,3.7461163997650146,4.370065689086914,0.23117315573770492,4.538645786340119,5.548143242226272,0.21875,4.488524436950684,6.167990207672119,0.2177254098360656,4.902423569413482,6.214532736872063
635,contrast/s5,64,0.3125,3.907212972640991,4.285343170166016,0.2315051020408163,4.53606850954951,5.542988956217863,0.296875,4.567594051361084,6.087629795074463,0.2180484693877551,4.901056918319391,6.2140147656810525
636,contrast/s5,64,0.203125,4.340982913970947,4.546855449676514,0.23138973577235772,4.535275478673175,5.538939633020541,0.15625,4.96644926071167,6.280100345611572,0.21779725609756098,4.901322740849441,6.2142834062498755
637,contrast/s5,64,0.1875,4.163252830505371,4.49601936340332,0.23121204453441296,4.533769314105694,5.534717283750835,0.15625,4.916545391082764,6.239912033081055,0.21754807692307693,4.901384371012329,6.214387165872674
638,contrast/s5,64,0.296875,3.7566237449645996,4.173025131225586,0.23147681451612903,4.530635662617222,5.529226589587427,0.328125,4.508069038391113,6.117356777191162,0.21799395161290322,4.899798422090469,6.21399591430541
639,contrast/s5,64,0.265625,3.975379228591919,4.241239070892334,0.23161395582329317,4.528405717099048,5.5240539489500975,0.234375,4.7471442222595215,6.106185436248779,0.21805973895582328,4.899185353014842,6.213562940497954
640,contrast/s5,64,0.21875,4.136776924133301,4.554808616638184,0.2315625,4.526839201927185,5.520176967620849,0.203125,4.8211259841918945,6.223409652709961,0.218,4.89887311553955,6.213602327346802
641,contrast/s5,64,0.234375,4.310107707977295,4.6746134757995605,0.23157370517928286,4.525975729839735,5.516808188768972,0.234375,4.935400009155273,6.290686130523682,0.2180652390438247,4.899018641012123,6.213909434132367
642,contrast/s5,64,0.234375,4.072646617889404,4.580543041229248,0.23158482142857142,4.524176804792313,5.513092850881909,0.25,4.810872554779053,6.244345664978027,0.21819196428571427,4.898668854955643,6.214030212826199
643,contrast/s5,64,0.25,4.252164840698242,4.279250621795654,0.23165760869565216,4.523101658689175,5.508216004126628,0.21875,4.771717071533203,6.189200401306152,0.2181941699604743,4.898167069250416,6.2139320712786885
644,contrast/s5,64,0.296875,3.9934279918670654,4.426934719085693,0.23191437007874016,4.521016329292237,5.503958991193396,0.28125,4.702633380889893,6.2191057205200195,0.2184424212598425,4.897397251579705,6.21395243997649
