corruption,batch_in_corruption,r_l,r_s,pred_l,pred_s,anchor,tau,acc_l,acc_s,duo_acc,true_better,anchor_correct
contrast/s5,47,0.21546170115470886,0.25675168633461,0.21546170115470886,0.25675168633461,small,1.4274369478225708,0.171875,0.21875,0.328125,small,True
contrast/s5,48,0.2278406023979187,0.2674575448036194,0.2278406023979187,0.2674575448036194,small,1.4198485612869263,0.2265625,0.265625,0.3359375,small,True
contrast/s5,49,0.2032206952571869,0.25722914934158325,0.2032206952571869,0.25722914934158325,small,1.4552130699157715,0.203125,0.265625,0.375,small,True
contrast/s5,50,0.22476010024547577,0.25854751467704773,0.22476010024547577,0.25854751467704773,small,1.467839241027832,0.203125,0.2265625,0.34375,small,True
contrast/s5,51,0.1883184015750885,0.27012038230895996,0.1883184015750885,0.27012038230895996,small,1.462311863899231,0.140625,0.1640625,0.2421875,small,True
contrast/s5,52,0.23318368196487427,0.24508047103881836,0.23318368196487427,0.24508047103881836,small,1.4481110572814941,0.21875,0.25,0.421875,small,True
contrast/s5,53,0.19735008478164673,0.2498103380203247,0.19735008478164673,0.2498103380203247,small,1.4580085277557373,0.1640625,0.203125,0.296875,small,True
contrast/s5,54,0.21831513941287994,0.245736226439476,0.21831513941287994,0.245736226439476,small,1.4211409091949463,0.171875,0.234375,0.3046875,small,True
contrast/s5,55,0.20904624462127686,0.24727314710617065,0.20904624462127686,0.24727314710617065,small,1.458339810371399,0.21875,0.1875,0.3046875,large,False
contrast/s5,56,0.2258734107017517,0.2383611798286438,0.2258734107017517,0.2383611798286438,small,1.4547052383422852,0.1953125,0.25,0.3203125,small,True
contrast/s5,57,0.21577675640583038,0.2381662130355835,0.21577675640583038,0.2381662130355835,small,1.4638153314590454,0.15625,0.15625,0.28125,tie,False
contrast/s5,58,0.20004695653915405,0.26173460483551025,0.20004695653915405,0.26173460483551025,small,1.4826048612594604,0.1640625,0.2421875,0.3515625,small,True
contrast/s5,59,0.22129741311073303,0.26591765880584717,0.22129741311073303,0.26591765880584717,small,1.4681230783462524,0.2265625,0.2734375,0.359375,small,True
contrast/s5,60,0.20740583539009094,0.22308269143104553,0.20740583539009094,0.22308269143104553,small,1.471082091331482,0.2109375,0.171875,0.265625,large,False
contrast/s5,61,0.26303860545158386,0.23903976380825043,0.26303860545158386,0.23903976380825043,large,1.4574335813522339,0.2421875,0.2421875,0.34375,tie,False
contrast/s5,62,0.2380073368549347,0.22191661596298218,0.2380073368549347,0.22191661596298218,large,1.4537264108657837,0.2109375,0.21875,0.3671875,small,False
contrast/s5,63,0.21475496888160706,0.23769965767860413,0.21475496888160706,0.23769965767860413,small,1.4528493881225586,0.1796875,0.203125,0.2734375,small,True
contrast/s5,64,0.18809710443019867,0.22061879932880402,0.18809710443019867,0.22061879932880402,small,1.4499527215957642,0.1171875,0.21875,0.3046875,small,True
contrast/s5,65,0.22204574942588806,0.23700213432312012,0.22204574942588806,0.23700213432312012,small,1.406236171722412,0.1953125,0.2109375,0.328125,small,True
contrast/s5,66,0.21912738680839539,0.25507640838623047,0.21912738680839539,0.25507640838623047,small,1.4383008480072021,0.21875,0.2421875,0.328125,small,True
contrast/s5,67,0.1963425874710083,0.22965654730796814,0.1963425874710083,0.22965654730796814,small,1.4608887434005737,0.1171875,0.21875,0.375,small,True
contrast/s5,68,0.23585398495197296,0.2646578550338745,0.23585398495197296,0.2646578550338745,small,1.4548102617263794,0.1875,0.2578125,0.3984375,small,True
contrast/s5,69,0.21000893414020538,0.272316038608551,0.21000893414020538,0.272316038608551,small,1.462934970855713,0.25,0.2109375,0.3125,large,False
contrast/s5,70,0.21680745482444763,0.2467990666627884,0.21680745482444763,0.2467990666627884,small,1.461456060409546,0.203125,0.25,0.359375,small,True
contrast/s5,71,0.19145214557647705,0.2544819712638855,0.19145214557647705,0.2544819712638855,small,1.454948902130127,0.140625,0.2265625,0.3046875,small,True
contrast/s5,72,0.1959286630153656,0.2575714588165283,0.1959286630153656,0.2575714588165283,small,1.483147382736206,0.171875,0.2734375,0.359375,small,True
contrast/s5,73,0.20263554155826569,0.25297096371650696,0.20263554155826569,0.25297096371650696,small,1.4207587242126465,0.203125,0.2421875,0.34375,small,True
contrast/s5,74,0.21709854900836945,0.26837852597236633,0.21709854900836945,0.26837852597236633,small,1.4745075702667236,0.21875,0.3046875,0.3828125,small,True
contrast/s5,75,0.17781849205493927,0.244353786110878,0.17781849205493927,0.244353786110878,small,1.490041971206665,0.203125,0.234375,0.3671875,small,True
contrast/s5,76,0.191611185669899,0.26314544677734375,0.191611185669899,0.26314544677734375,small,1.4798238277435303,0.1171875,0.1875,0.203125,small,True
contrast/s5,77,0.20884910225868225,0.24067683517932892,0.20884910225868225,0.24067683517932892,small,1.467745065689087,0.2265625,0.2265625,0.3359375,tie,False
contrast/s5,78,0.23395223915576935,0.25753921270370483,0.23395223915576935,0.25753921270370483,small,1.463128924369812,0.21875,0.25,0.3203125,small,True
contrast/s5,79,0.25750410556793213,0.1729026734828949,0.25750410556793213,0.1729026734828949,large,1.5283608436584473,0.3125,0.1875,0.3125,large,True
defocus_blur/s5,80,0.6352276802062988,0.19844436645507812,0.6352276802062988,0.19844436645507812,large,1.4988682270050049,0.34375,0.1171875,0.3359375,large,True
defocus_blur/s5,81,0.677433967590332,0.18760442733764648,0.677433967590332,0.18760442733764648,large,1.3444639444351196,0.328125,0.203125,0.375,large,True
defocus_blur/s5,82,0.6245593428611755,0.16387948393821716,0.6245593428611755,0.16387948393821716,large,1.5269626379013062,0.2578125,0.1484375,0.2734375,large,True
defocus_blur/s5,83,0.6262766718864441,0.19644290208816528,0.6262766718864441,0.19644290208816528,large,1.459509253501892,0.34375,0.15625,0.40625,large,True
defocus_blur/s5,84,0.653217077255249,0.19844505190849304,0.653217077255249,0.19844505190849304,large,1.6106715202331543,0.3046875,0.140625,0.328125,large,True
defocus_blur/s5,85,0.6145960688591003,0.17350360751152039,0.6145960688591003,0.17350360751152039,large,1.5088921785354614,0.2578125,0.109375,0.2421875,large,True
defocus_blur/s5,86,0.670211672782898,0.20487357676029205,0.670211672782898,0.20487357676029205,large,0.9464908838272095,0.3515625,0.1953125,0.3984375,large,True
defocus_blur/s5,87,0.6433479189872742,0.18236346542835236,0.6433479189872742,0.18236346542835236,large,1.6174501180648804,0.25,0.109375,0.28125,large,True
defocus_blur/s5,88,0.6406075954437256,0.20869749784469604,0.6406075954437256,0.20869749784469604,large,1.49576997756958,0.3125,0.1875,0.3359375,large,True
defocus_blur/s5,89,0.6436070799827576,0.19325494766235352,0.6436070799827576,0.19325494766235352,large,1.553842544555664,0.328125,0.140625,0.3515625,large,True
defocus_blur/s5,90,0.6321413516998291,0.20660831034183502,0.6321413516998291,0.20660831034183502,large,1.4609084129333496,0.3125,0.1484375,0.28125,large,True
defocus_blur/s5,91,0.6620496511459351,0.2003975510597229,0.6620496511459351,0.2003975510597229,large,1.5319982767105103,0.34375,0.1328125,0.3515625,large,True
defocus_blur/s5,92,0.6039167642593384,0.1818263977766037,0.6039167642593384,0.1818263977766037,large,1.324851393699646,0.2578125,0.09375,0.2578125,large,True
defocus_blur/s5,93,0.7049108147621155,0.194657564163208,0.7049108147621155,0.194657564163208,large,1.6335951089859009,0.4140625,0.2265625,0.421875,large,True
defocus_blur/s5,94,0.6275254487991333,0.1885753870010376,0.6275254487991333,0.1885753870010376,large,1.5037446022033691,0.234375,0.15625,0.25,large,True
defocus_blur/s5,95,0.6487146615982056,0.16158318519592285,0.6487146615982056,0.16158318519592285,large,1.5299324989318848,0.2265625,0.125,0.28125,large,True
defocus_blur/s5,96,0.6451178193092346,0.20852762460708618,0.6451178193092346,0.20852762460708618,large,1.524495005607605,0.3046875,0.1328125,0.328125,large,True
defocus_blur/s5,97,0.6470437049865723,0.20453792810440063,0.6470437049865723,0.20453792810440063,large,1.486435055732727,0.3125,0.109375,0.328125,large,True
defocus_blur/s5,98,0.6418277025222778,0.1595032960176468,0.6418277025222778,0.1595032960176468,large,1.5999503135681152,0.3203125,0.109375,0.3671875,large,True
defocus_blur/s5,99,0.5800204277038574,0.18416768312454224,0.5800204277038574,0.18416768312454224,large,1.5459051132202148,0.2109375,0.1484375,0.234375,large,True
defocus_blur/s5,100,0.6773148775100708,0.2147188037633896,0.6773148775100708,0.2147188037633896,large,1.5735193490982056,0.359375,0.1640625,0.375,large,True
