proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,linear,128,2355,0.811295383236217,1810,2231,0.4979267909891428,0.9777657266811279,0.01808785529715762,1844,387,0.01376056755170852,0.0334648407633604,0.4111664650327215,0.2500342224150934,0.638482484363463,0.7990509898394864,0.8038363578771652,0.7059982902226002,0.8402370440670895,0.8409804701051969
cot,platt,128,2355,0.8103989242492156,1808,2231,0.497384491639902,0.9766811279826464,0.01808785529715762,1844,387,0.013745331603530758,0.03312917318004167,0.4082780978156392,0.25085720322861066,0.6383202373552996,0.7989494585737571,0.8038363578771652,0.7066119377866187,0.8406021281121162,0.8409804701051969
ac_mc,platt,512,600,0.8333333333333334,490,588,0.49532277960526316,0.951171875,0.039473684210526314,512,76,0.031002952012723777,0.4038047488337729,0.7568076274083334,0.47198941319438814,0.8850074064036415,0.9407483225622257,0.8882146493347424,0.9398428437819135,0.9694549209643084,0.9326362239366534
ac_mc,beta,512,600,0.8299319727891157,488,588,0.49336965460526316,0.947265625,0.039473684210526314,512,76,0.033314577104501246,0.530322966743726,0.7284279096236583,0.394287450615393,0.805135419823388,0.8972933855899017,0.8882146493347424,0.8721762300310233,0.933903758441427,0.9326362239366534
atc,beta,128,2355,0.7337516808606006,1637,2231,0.4908306568688448,0.8627982646420824,0.11886304909560723,1844,387,0.03105020186935467,0.3677684689642678,0.5108304098171055,0.324824191441135,0.6750775001600746,0.8216309999994369,0.8069991637475502,0.8962990935638127,0.9467307397374465,0.9172144185505207
nuclear_norm,linear,1024,300,0.8552188552188552,254,297,0.49034749034749037,0.9806949806949807,0.0,259,38,0.032702870460781124,0.635507369119505,0.8775138778708235,0.5633255652338658,0.9758149077676453,0.9878334413086274,0.9726172975452466,0.977390991850452,0.9886308673364654,0.9811590242395745
nuclear_norm,platt,1024,300,0.8552188552188552,254,297,0.49034749034749037,0.9806949806949807,0.0,259,38,0.02378367403444418,0.4515658577548027,0.917750216500486,0.7179267461344834,0.9779083382090649,0.9888924806110444,0.9726172975452466,0.9853692022851508,0.9926576460618992,0.9811590242395745
nuclear_norm,beta,1024,300,0.8552188552188552,254,297,0.49034749034749037,0.9806949806949807,0.0,259,38,0.02202704055995419,0.6598628249574437,0.922304896985372,0.7080498379990572,0.966349636753283,0.9830308422187388,0.9726172975452466,0.9799353189404149,0.9899168242536415,0.9811590242395745
atc,platt,128,2355,0.7678171223666517,1713,2231,0.4859170324034371,0.9175704989154013,0.05426356589147287,1844,387,0.03615340717358029,0.22513472606376075,0.43837946924043103,0.3280685710421244,0.7363821386235766,0.8581271109943891,0.8069991637475502,0.9228728817916131,0.9606627305103561,0.9172144185505207
atc,linear,128,2355,0.7687135813536531,1715,2231,0.4854384917632156,0.9191973969631236,0.05167958656330749,1844,387,0.03851399660424192,0.24332158619390973,0.45956844033509214,0.32321122650663936,0.7207911298025149,0.8489941871429479,0.8069991637475502,0.9246079127276479,0.9615653450117927,0.9172144185505207
ac_mc,linear,1024,300,0.8383838383838383,249,297,0.4806949806949807,0.9613899613899614,0.0,259,38,0.03398828043942978,0.4951161755897509,0.7701811110368977,0.4290342392188394,0.8690197797215646,0.9322123039960182,0.887423308748628,0.916531323909461,0.9573564246974379,0.9330891622882354
ac_mc,linear,2048,150,0.8456375838926175,126,149,0.4772727272727273,0.9545454545454546,0.0,132,17,0.03355719672339516,0.5011149244900899,0.7757146608725096,0.4308331809039337,0.8714266531471009,0.9335023584046807,0.8837423063147519,0.9186462330510539,0.9584603450592277,0.9366827776687879
ac_mc,platt,1024,300,0.8148148148148148,242,297,0.4671814671814672,0.9343629343629344,0.0,259,38,0.03020165820843705,0.4174790347610008,0.7880497810966176,0.49643403098572664,0.8931387012329505,0.9450601574677405,0.887423308748628,0.945882489103645,0.9725649022577594,0.9330891622882354
ac_mc,beta,1024,300,0.8148148148148148,242,297,0.4671814671814672,0.9343629343629344,0.0,259,38,0.03202666900951716,0.5513506582934364,0.7553420047098959,0.41083230849823527,0.8125286020458243,0.9014036842868041,0.887423308748628,0.8785572083877992,0.9373138259877527,0.9330891622882354
ac_mc,platt,2048,150,0.825503355704698,123,149,0.4659090909090909,0.9318181818181818,0.0,132,17,0.029851965889197293,0.4221073696850727,0.7944928920147474,0.502267721050427,0.8959026338688153,0.9465213330236225,0.8837423063147519,0.9480967199132545,0.9737025828831176,0.9366827776687879
ac_mc,beta,2048,150,0.825503355704698,123,149,0.4659090909090909,0.9318181818181818,0.0,132,17,0.031573519010832815,0.5581045927953215,0.7602699445112192,0.41269319202629434,0.8145022686743051,0.902497794276698,0.8837423063147519,0.8806416833172238,0.9384251079959571,0.9366827776687879
nuclear_norm,platt,2048,150,0.8187919463087249,122,149,0.4621212121212121,0.9242424242424242,0.0,132,17,0.020323927095209082,0.5775791533316743,0.9255322747721054,0.7283446440820592,0.9857052943488703,0.9928269206406877,0.9782120164959935,0.9882997195012585,0.9941326468340422,0.984172250295259
atc,linear,2048,150,0.8187919463087249,122,149,0.4621212121212121,0.9242424242424242,0.0,132,17,0.036315333205302266,0.2797332337818174,0.5309076077205578,0.32789767800785546,0.7722139409654853,0.8787570431953791,0.8103485060230637,0.9732816526830762,0.9865503802052261,0.9630437604135773
atc,platt,2048,150,0.8187919463087249,122,149,0.4621212121212121,0.9242424242424242,0.0,132,17,0.03420143932139875,0.25794503295914245,0.506203620075466,0.34465978867514785,0.7905630919239911,0.8891361492617377,0.8103485060230637,0.97004816293224,0.9849102309003801,0.9630437604135773
atc,linear,1024,300,0.8047138047138047,239,297,0.4613899613899614,0.9227799227799228,0.0,259,38,0.03646257445855316,0.2777539738028319,0.528447296292959,0.33186526849030434,0.7688674518299429,0.8768508720586089,0.8140789837303406,0.9703145704607483,0.9850454661896314,0.9575235131875652
atc,platt,1024,300,0.8047138047138047,239,297,0.4613899613899614,0.9227799227799228,0.0,259,38,0.034319023463430125,0.2563655339413844,0.5039202427730544,0.33952246947231984,0.7870687068740716,0.8871689280368602,0.8140789837303406,0.9670818969163175,0.9834032219371246,0.9575235131875652
atc,linear,512,600,0.8027210884353742,472,588,0.4609375,0.921875,0.0,512,76,0.03710407112755926,0.2646019173525027,0.4999043914064055,0.3214521409429541,0.7616275317330188,0.8727127429647277,0.8170882836635813,0.959397793791039,0.9794885368349335,0.9487036500102766
atc,platt,512,600,0.8010204081632653,471,588,0.4599609375,0.919921875,0.0,512,76,0.03486196378808252,0.24457919662275898,0.47721364369481,0.3273365995699753,0.7797478443221381,0.8830333200520454,0.8170882836635813,0.9568758709013326,0.9782003224806934,0.9487036500102766
