global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_coca_ts_acc,cmp_proxy_weighted_nuclear_norm_acc
275,snow/s5,128,0.0,13.835697174072266,0.01065521314740181,0.14068161231884058,9.11028563026069,0.6906751972299231,0.515625,2.39143443107605,0.906183123588562,0.5170686141304348,2.4282804826895394,1.9324444806662158,0.515625,3.2632601261138916,0.48025310039520264,0.5119735054347826,3.146857600281204,0.7091491337919581,8.134734912346175e-07,0.2109375,0.1015625,0.2421875
276,snow/s5,128,0.0,13.605656623840332,0.01674579828977585,0.14017373646209386,9.126514406410795,0.6882422391110056,0.6484375,1.7244195938110352,0.8348478078842163,0.5175428700361011,2.425739468650267,1.928482037804187,0.6484375,2.2812328338623047,0.4334786534309387,0.512466155234657,3.1437326011244573,0.7081539335018461,6.495239404102904e-07,0.2265625,0.0625,0.3046875
277,snow/s5,128,0.0,13.838083267211914,0.010643214918673038,0.1396695143884892,9.143462495838138,0.6858048325491627,0.53125,2.3617405891418457,1.0278123617172241,0.5175921762589928,2.425509256853474,1.925242218825457,0.53125,3.1349291801452637,0.5595359802246094,0.5125337230215827,3.1437009341425175,0.7076193365476114,9.395660640620918e-07,0.2578125,0.0390625,0.296875
278,snow/s5,128,0.0,13.782164573669434,0.013655666261911392,0.13916890681003585,9.160088668160114,0.6833956957524342,0.59375,1.8211143016815186,0.8080172538757324,0.5178651433691757,2.4233429666915676,1.9212378282700815,0.59375,2.4281651973724365,0.4486475884914398,0.5128248207885304,3.1411362899247037,0.7066911223968725,8.266629265563097e-07,0.2578125,0.125,0.296875
279,snow/s5,128,0.0,13.854130744934082,0.009518394246697426,0.138671875,9.176853104148591,0.6809889911041994,0.4375,2.9578804969787598,1.0664479732513428,0.517578125,2.425252029299736,1.9181850073593003,0.4375,4.0542755126953125,0.5667200088500977,0.5125558035714286,3.144397501434599,0.7061912255627768,1.3203430171415675e-06,0.1640625,0.046875,0.203125
280,snow/s5,128,0.0,13.934442520141602,0.009653140790760517,0.13817838078291814,9.193784027337179,0.6785998955514826,0.5703125,2.2902438640594482,1.1193270683288574,0.5177657918149466,2.4247715731956783,1.9153420965442454,0.5703125,3.020331621170044,0.6182737946510315,0.5127613434163701,3.1439559858464685,0.7058783521431621,1.5262803572113626e-06,0.21875,0.03125,0.28125
281,snow/s5,128,0.0,13.931275367736816,0.01021258533000946,0.13768838652482268,9.210583642019447,0.6762297277847398,0.5703125,1.9913221597671509,1.000637173652649,0.5179521276595744,2.42323451853813,1.9120984620659063,0.5703125,2.61079478263855,0.5719790458679199,0.5129654255319149,3.1420653432819017,0.7054035319081435,1.4859119801258203e-06,0.203125,0.0625,0.2421875
282,snow/s5,128,0.0,13.98665714263916,0.009655577130615711,0.13720185512367492,9.227460226827292,0.6738743420933824,0.5546875,2.4283370971679688,1.0357558727264404,0.5180819346289752,2.42325254885131,1.9090018451424453,0.5546875,3.252610206604004,0.5329342484474182,0.5131128533568905,3.142455961173499,0.7047940998111092,1.3345951401788625e-06,0.21875,0.015625,0.2421875
283,snow/s5,128,0.0,14.057268142700195,0.011555073782801628,0.13671875,9.244466592728251,0.6715422319936972,0.515625,2.508399486541748,1.0201430320739746,0.5180732834507042,2.4235523620121917,1.9058720605893873,0.515625,3.392202854156494,0.5495166182518005,0.513121698943662,3.143335351641749,0.7042473481154777,1.4016172826814e-06,0.234375,0.0390625,0.2734375
284,snow/s5,128,0.0,14.098623275756836,0.009384576231241226,0.13623903508771928,9.261498721440633,0.6692188717980395,0.5703125,2.23024845123291,0.8962547779083252,0.5182565789473684,2.422874102676124,1.9023295438080503,0.5703125,3.022566556930542,0.4805540442466736,0.5133223684210526,3.1429116014848675,0.7034624593299732,1.1251739806539263e-06,0.2421875,0.0234375,0.296875
